영화제목,평점,평점 참여명수
샹치와 텐 링즈의 전설,6.79,"4,970"
최선의 삶,8.96,82
인질,7.36,"3,677"
건파우더 밀크셰이크,6.90,42
코다,9.42,318
바쿠라우,8.41,17
맨 인 더 다크 2 ,8.20,364
모가디슈,8.32,"13,730"
습도 다소 높음,8.60,45
사랑에 관한 짧은 필름,8.67,147
생각의 여름,8.28,43
살인에 관한 짧은 필름,8.15,65
싱크홀,6.78,"5,794"
노매드랜드,8.47,629
꽃다발 같은 사랑을 했다,9.09,343
리스펙트,9.00,2
여름날 우리,8.98,279
레미니센스,7.01,348
분노,8.56,"1,307"
캡틴 판타스틱,8.59,452
프리 가이,9.11,"1,747"
퍼피 구조대 더 무비,9.59,78
중경삼림,8.92,"2,577"
극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 팔라딘; 아가트람,8.56,16
그린 나이트,7.63,385
이도공간,8.29,225
나는 나대로 혼자서 간다,7.96,27
사제로부터 온 편지,10.00,5
올드,6.72,731
인트로덕션,7.67,91
팜 스프링스,8.25,61
캐논볼,8.71,28
남색대문,8.23,62
갈매기,8.92,64
사냥의 시간,5.67,"9,584"
소셜 네트워크,7.84,"2,863"
자마,8.00,11
박강아름 결혼하다,9.55,33
잘리카투,7.55,31
묵향,5.33,3
귀문,4.71,600
코드 카림,4.92,13
아담,7.50,6
블랙 위도우,8.48,"7,247"
"구름의 저편, 약속의 장소",6.89,111
별을 쫓는 아이,7.91,"1,413"
언어의 정원,8.16,"2,483"
언더그라운드,8.00,5
하이큐!! 땅 VS 하늘,8.51,177
더 수어사이드 스쿼드,7.06,"2,242"
숏버스 감성행,8.30,10
다이노 마이 프렌드,6.14,14
피닉스,8.45,66
교실 안의 야크,9.40,173
켈리 갱,7.43,7
오필리아,7.84,85
올리버 색스: 그의 생애,9.33,3
"우리, 둘",9.14,44
은혼 더 파이널,9.44,256
69세,8.64,"7,597"
기담,7.49,"4,088"
너의 췌장을 먹고 싶어,8.39,"1,070"
암살자들,8.92,52
윤희에게,8.97,"2,587"
트립 투 그리스,5.70,43
화양연화,8.77,"1,897"
갈매기,8.08,142
강변호텔,6.00,410
극장판 도라에몽: 진구의 신공룡,9.22,113
너와 파도를 탈 수 있다면,8.58,320
너의 췌장을 먹고 싶어,8.10,"4,909"
더 나이트,5.08,12
더스트맨,8.30,50
데미지,7.52,223
독전,7.52,"18,811"
릴리 슈슈의 모든 것,8.11,"1,350"
메리 크리스마스 미스터 모,8.89,83
몽마르트 파파,9.46,169
바울,9.17,"1,991"
번지 점프를 하다,8.98,"2,611"
베로니카의 이중 생활,8.20,147
보스 베이비 2,9.11,"1,526"
북샵,8.74,27
빛나는 순간,8.48,264
세 가지 색 : 레드,8.30,94
세 가지 색 : 블루,8.37,173
수필러브,0.00,0
신세계,8.94,"21,746"
신은 죽지 않았다 3: 어둠 속의 빛,8.29,417
악녀,6.97,"9,379"
에로스,6.79,92
와인 패밀리,8.26,39
우리의 20세기,8.25,579
이별의 아침에 약속의 꽃을 장식하자,8.91,"1,436"
이스케이프 룸 2: 노 웨이 아웃,8.31,576
이중섭의 아내,7.20,25
정말 먼 곳,8.13,117
천로역정: 천국을 찾아서,8.84,"1,040"
콰이강의 다리,8.87,202
크레센도,9.02,40
하나와 앨리스,8.11,"1,609"
학교 가는 길,9.58,155
해피 투게더,9.19,"1,165"
호우시절,7.40,"1,917"
흩어진 밤,7.68,31
뉴욕의 왕,8.88,17
라임라이트,9.36,88
모던 타임즈,9.33,"1,200"
미스 사이공: 25주년 특별 공연,9.21,280
서커스,9.38,45
시티 라이트,9.44,200
위대한 독재자,9.24,386
콜,7.57,"5,976"
키드,9.26,151
파리의 여인,9.08,13
황금광시대,9.01,144
