,단종된 자동차
0,2021 볼보 XC60
1,2020 벤츠 E클래스
2,2020 BMW 5시리즈
3,2020 벤츠 AMG GT 4도어 쿠페
4,2020 벤츠 S클래스
5,1991 닛산 휘가로
6,2020 벤츠 CLS클래스
7,2020 BMW 3시리즈
8,2018 BMW 3시리즈 
9,2020 벤츠 CLA클래스
10,2020 BMW 5시리즈 플러그인 하이브리드
11,2017 벤츠 E클래스
12,2019 BMW 5시리즈
13,2019 벤츠 E클래스
14,2020 BMW 7시리즈
15,2018 벤츠 E클래스
16,2019 쉐보레 크루즈
17,2016 벤츠 E클래스
18,2020 캐딜락 CT6
19,2019 쉐보레 올란도
20,2020 랜드로버 디펜더 110
21,2019 폭스바겐 비틀
22,2020 렉서스 RX 하이브리드
23,2017 BMW 5시리즈
24,2020 벤츠 GLC클래스
25,2019 BMW i8
26,2016 BMW 5시리즈
27,2020 부가티 시론 에르메스
28,2020 벤츠 S클래스 AMG
29,2020 벤츠 E클래스 AMG
30,2019 벤츠 CLA클래스 AMG
31,2019 쉐보레 실버라도
32,2017 쉐보레 말리부
33,2020 링컨 컨티넨탈
34,2018 벤츠 GLA클래스
35,2019 벤츠 S클래스
36,2020 BMW 1시리즈
37,2019 BMW 4시리즈
38,2015 벤츠 S클래스
39,2021 볼보 XC60 플러그인 하이브리드
40,2019 쉐보레 카마로
41,2019 부가티 라 부아튀르 느와르
42,2018 벤츠 S클래스
43,2021 쉐보레 트레일블레이저
44,2020 BMW 6시리즈 그란투리스모
45,2016 BMW 3시리즈
46,2016 아우디 A7
47,2020 벤츠 A클래스 세단
48,2020 벤츠 A클래스
49,2020 BMW X6
50,2019 벤츠 GLC클래스
51,2017 BMW 5시리즈 그란투리스모
52,2021 돈커부트 D8 GTO JD70 R
53,2020 벤츠 E클래스 카브리올레
54,2019 닛산 알티마
55,2016 쉐보레 카마로
56,2016 랜드로버 디스커버리4
57,2020 벤츠 G클래스 AMG
58,2020 벤츠 CLS클래스 AMG
59,2016 아우디 A6 
60,2016 벤츠 C클래스
61,2014 쉐보레 스파크
62,2010 마이바흐 62
63,2019 테슬라 모델3
64,2015 폭스바겐 CC
65,2014 아우디 A6
66,2014 벤츠 E클래스
67,2021 쉐보레 스파크
68,2020 렉서스 NX 하이브리드
69,2019 쉐보레 블레이저
70,2019 쉐보레 임팔라
71,2018 스바루 임프레자 WRX
72,2016 페라리 488 스파이더
73,2015 벤츠 E클래스
74,2014 페라리 라페라리
75,2020 포드 머스탱
76,2020 테슬라 모델Y
77,2020 아우디 A6
78,2020 볼보 XC60
79,2020 벤츠 E클래스 하이브리드
80,2019 BMW M2
81,2018 벤츠 C클래스
82,2016 볼보 S90
83,2015 아우디 A6
84,2015 BMW 5시리즈
85,2020 볼보 S90
86,2019 쉐보레 캡티바
87,2019 벤츠 S클래스 쿠페 AMG
88,2019 벤츠 SL클래스
89,2019 벤츠 CLS클래스
90,2016 벤츠 CLS클래스
91,2015 혼다 S660
92,2013 마이바흐 62S 랜덜렛
93,2013 돈커부트 D8 GTO
94,2011 BMW 5시리즈
95,2007 허머 H3
96,2020 폭스바겐 티구안
97,2020 폭스바겐 투아렉
98,2020 링컨 MKZ
99,2019 쉐보레 트랙스
100,2015 쉐보레 올란도
101,2015 벤츠 CLS클래스 AMG
102,2021 쉐보레 말리부
103,2020 인피니티 Q50
104,2019 포르쉐 파나메라
105,2019 벤츠 마이바흐 S클래스
106,2019 벤츠 G클래스
107,2019 BMW 4시리즈 그란쿠페
108,2018 벤츠 A클래스 AMG
109,2016 쉐보레 올란도
110,2020 포르쉐 파나메라
111,2020 포르쉐 마칸
112,2020 볼보 XC40
113,2020 BMW X5
114,2019 재규어 XJ
115,2019 벤츠 GLE 쿠페
116,2019 BMW 6시리즈 그란투리스모
117,2018 포드 머스탱
118,2018 쉐보레 올란도
119,2014 쉐보레 크루즈
120,2013 벤츠 E클래스 
121,2005 마이바흐 엑셀레로
122,2020 아우디 Q7
123,2020 벤츠 GLE클래스
124,2019 아우디 A6
125,2019 쉐보레 이쿼녹스
126,2019 쉐보레 말리부
127,2019 벤츠 GLC클래스 플러그인 하이브리드
128,2019 BMW 3시리즈
129,2018 포드 익스플로러
130,2018 벤츠 S클래스 AMG
131,2018 벤츠 GLC클래스
132,2018 마세라티 그란투리스모
133,2017 포드 익스플로러
134,2016 스즈키 허슬러
135,2015 스바루 임프레자 WRX
136,2014 벤츠 S클래스
137,2014 BMW 5시리즈
138,2020 혼다 어코드
139,2020 포르쉐 911 터보
140,2020 벤츠 GLE 쿠페
141,2019 토요타 수프라
142,2019 재규어 XF
143,2019 벤츠 E클래스 쿠페 AMG
144,2019 벤츠 C클래스
145,2019 벤츠 CLS클래스 AMG
146,2018 쉐보레 스파크
147,2018 BMW 7시리즈
148,2018 BMW 3시리즈 플러그인 하이브리드
149,2017 크라이슬러 300C
150,2017 벤츠 GLC클래스 
151,2017 랜드로버 레인지로버
152,2016 BMW 7시리즈
153,2015 포르쉐 918 스파이더
154,2015 벤츠 C클래스
155,2013 BMW 5시리즈 
156,2012 아우디 A6
157,2020 아우디 Q5
158,2020 벤츠 GLA클래스
159,2019 아우디 Q7
160,2019 쉐보레 스파크
161,2019 벤츠 C클래스 AMG 
162,2019 BMW X4
163,2018 포르쉐 파나메라
164,2018 볼보 XC60
165,2017 폭스바겐 골프
166,2017 쉐보레 카마로
167,2017 쉐보레 스파크
168,2016 포르쉐 911 카레라
169,2016 페라리 488 GTB
170,2016 BMW X4 
171,2016 BMW 3시리즈 그란투리스모 
172,2015 아우디 A7
173,2015 벤츠 SLK클래스
174,2012 벤츠 C클래스
175,2012 BMW 5시리즈
176,2011 인피니티 M
177,2009 벤츠 GLK클래스
178,2007 허머 H3T
179,2020 혼다 오딧세이 하이브리드
180,2020 쉐보레 카마로
181,2020 볼보 V60 크로스 컨트리
182,2020 벤틀리 뮬산
183,2019 포르쉐 박스터 GTS
