,현재 시판 중인 자동차
0,2022 캐스퍼
1,2022 GV60
2,2022 EV6
3,2022 GV80
4,2022 스포티지 하이브리드
5,2022 셀토스
6,2021 GV70
7,2022 베뉴
8,2020 아반떼
9,2022 카니발
10,2022 스포티지
11,2021 아이오닉 5
12,2022 G80
13,2022 스팅어
14,2021 그랜저
15,2020 팰리세이드
16,2022 쏘렌토
17,2022 레이
18,2021 투싼
19,2022 QM6
20,2021 마이브 M1
21,2022 EV6 GT
22,2022 니로 하이브리드
23,2020 싼타페
24,2022 쏘렌토 하이브리드
25,2021 싼타페 하이브리드
26,2022 K5
27,2022 렉스턴
28,2021 아반떼 N
29,2021 G70
30,2021 스타리아
31,2021 K8
32,2022 모닝
33,2021 쏘나타
34,2022 카니발 하이리무진
35,2021 코나
36,2022 XM3
37,2021 넥쏘
38,2021 그랜저 하이브리드
39,2021 G90
40,2021 투싼 하이브리드
41,2021 K8 하이브리드
42,2021 디피코 포트로 EV 픽업
43,2022 K3
44,2022 티볼리
45,2021 일렉트리파이드 G80
46,2021 모하비
47,2022 K5 하이브리드
48,2022 K9
49,2022 코란도
50,2020 아반떼 하이브리드
51,2021 렉스턴 스포츠 칸
52,2021 코나 하이브리드
53,2021 렉스턴 스포츠
54,2021 포터2
55,2021 SM6
56,2021 코나 N
57,2021 쏘나타 하이브리드
58,2022 티볼리 에어
59,2022 니로 EV
60,2021 G90L
61,2022 K3 GT
62,2021 쿠스토
63,2020 봉고3
64,2019 쏠라티
65,2021 캠시스 CEVO-C SE
66,2020 i10
67,2020 텔루라이드
68,2020 벨로스터 N
69,2021 G70 슈팅브레이크
70,2022 니로 플러그인 하이브리드
71,2021 싼타크루즈
72,2020 포터2 일렉트릭
73,2021 쏘렌토 플러그인 하이브리드
74,2021 디피코 포트로 EV 탑
75,2020 i30
76,2021 코나 일렉트릭
77,2020 대창모터스 다니고 밴
78,2020 봉고3 EV
79,2020 SMART EV Z
80,2020 SMART EV D2P
81,2019 대창모터스 다니고 III 픽업
82,2020 밍투
83,2020 크레타
84,2020 라페스타 EV
85,2021 바이욘
86,2020 SMART EV D2C
87,2020 i30 N
88,2021 i30 N 패스트백
89,2019 대창모터스 다니고 III 밴
90,2021 i20 N
91,2020 밍투 일렉트릭
92,2021 투싼 플러그인 하이브리드
93,2020 X씨드
94,2020 프로씨드
95,2021 리오 해치백
96,2020 X씨드 플러그인 하이브리드
97,2020 i30 패스트백
98,2020 씨드 SW 플러그인 하이브리드
99,2020 i30 왜건
