,현재 시판 중인 자동차
0,2022 돈커부트 D8 GTO
1,2022 쉐보레 실버라도
2,2022 링컨 네비게이터
3,2021 벤츠 E클래스
4,2022 렉서스 ES 하이브리드
5,2021 벤츠 EQA
6,2022 렉서스 ES F 스포츠 하이브리드
7,2021 벤츠 S클래스
8,2022 아바쓰 500
9,2022 스바루 임프레자 WRX
10,2021 BMW 5시리즈
11,2021 테슬라 모델Y
12,2021 테슬라 모델3
13,2022 폭스바겐 제타
14,2022 쉐보레 볼트 EUV
15,2022 쉐보레 트레일블레이저
16,2021 폭스바겐 티구안
17,2021 BMW X5
18,2021 캐딜락 에스컬레이드
19,2022 쉐보레 볼트 EV
20,2022 폭스바겐 제타 GLI
21,2021 벤츠 GLE 쿠페 AMG
22,2021 아우디 A6
23,2021 볼보 XC40
24,2021 벤츠 GLB클래스
25,2020 페라리 로마
26,2021 벤츠 G클래스
27,2021 BMW 3시리즈
28,2020 벤츠 C클래스
29,2021 지프 랭글러 4XE
30,2021 포르쉐 파나메라
31,2021 벤츠 GLC클래스
32,2022 랜드로버 디스커버리
33,2021 아우디 Q5 스포트백
34,2021 볼보 XC90
35,2022 로터스 에미라
36,2021 BMW X3
37,2021 BMW X4
38,2021 BMW X7
39,2021 벤츠 GLE클래스
40,2021 아우디 Q5
41,2021 BMW X6
42,2021 아우디 e-트론
43,2022 BMW X1
44,2021 벤츠 CLS클래스
45,2021 지프 레니게이드
46,2021 벤츠 CLA클래스
47,2021 마세라티 기블리
48,2021 포르쉐 타이칸
49,2021 쉐보레 트래버스
50,2021 벤츠 EQS AMG
51,2019 포르쉐 카이엔
52,2021 벤츠 A클래스
53,2021 벤츠 마이바흐 S클래스
54,2021 쉐보레 콜로라도
55,2021 벤츠 GLS클래스
56,2021 마세라티 콰트로포르테
57,2021 포드 익스플로러
58,2021 아우디 A7
59,2021 아우디 Q8
60,2021 BMW Z4
61,2021 폭스바겐 제타
62,2021 마세라티 르반떼
63,2021 벤틀리 플라잉 스퍼
64,2022 쉐보레 스파크
65,2021 람보르기니 우루스
66,2021 지프 랭글러
67,2021 볼보 S90
68,2021 볼보 S60
69,2021 폭스바겐 티록
70,2021 벤츠 GLA클래스
71,2021 아우디 e-트론 스포트백
72,2021 벤츠 EQE
73,2019 테슬라 모델X
74,2021 아우디 Q7
75,2021 BMW 4시리즈
76,2021 렉서스 ES 하이브리드
77,2021 벤츠 AMG GT 4도어 쿠페
78,2021 BMW 4시리즈 컨버터블
79,2021 BMW 7시리즈
80,2021 벤츠 GLE클래스 AMG
81,2021 볼보 V60 크로스 컨트리
82,2021 BMW 6시리즈 그란투리스모
83,2021 폭스바겐 투아렉
84,2021 벤틀리 벤테이가
85,2022 토요타 캠리 하이브리드
86,2021 링컨 에비에이터
87,2021 지프 체로키
88,2020 포르쉐 911 카레라
89,2020 링컨 노틸러스
90,2022 쉐보레 말리부
91,2021 포드 머스탱
92,2021 미니 해치백 S 5도어
93,2019 테슬라 모델S
94,2022 쉐보레 트랙스
95,2021 벤츠 A클래스 세단
96,2021 미니 컨트리맨
97,2021 렉서스 UX 하이브리드
98,2021 아우디 A4
99,2021 벤츠 GLC클래스 AMG
100,2020 포드 브롱코 4도어
101,2020 아우디 Q3
102,2019 포르쉐 박스터
103,2021 폭스바겐 파사트 GT
104,2021 벤츠 GLC 쿠페
105,2020 폭스바겐 아테온
106,2021 아우디 R8
107,2021 아우디 A5
108,2021 쉐보레 카마로
109,2021 롤스로이스 고스트
110,2021 렉서스 NX 하이브리드
111,2021 아우디 RS7
112,2021 랜드로버 레인지로버 이보크
113,2020 캐딜락 CT5
114,2021 포르쉐 마칸
115,2020 링컨 코세어
116,2021 BMW 1시리즈
117,2021 포드 레인저 랩터
118,2021 지프 그랜드 체로키
119,2021 랜드로버 레인지로버
120,2021 볼보 V90 크로스 컨트리
121,2020 벤츠 EQC
122,2021 링컨 네비게이터
123,2021 BMW 2시리즈
124,2021 벤츠 C클래스
125,2021 벤츠 GLE 쿠페
126,2021 벤츠 GLC 쿠페 AMG
127,2020 아우디 Q2
128,2020 롤스로이스 컬리넌 블랙배지
129,2021 랜드로버 레인지로버 벨라
130,2021 벤츠 마이바흐 GLS클래스
131,2021 랜드로버 디펜더 110
132,2021 BMW M4
133,2021 혼다 CR-V 하이브리드
134,2021 토요타 시에나 하이브리드
135,2021 토요타 라브4 하이브리드
136,2021 벤츠 E클래스 하이브리드
137,2021 아우디 e-트론 GT
138,2021 람보르기니 우라칸
139,2020 페라리 F8 스파이더
140,2021 벤츠 E클래스 카브리올레
141,2021 혼다 어코드
142,2021 벤츠 GLC클래스 플러그인 하이브리드
143,2021 혼다 어코드 하이브리드
144,2021 포르쉐 카이엔 쿠페
145,2021 미니 해치백
146,2021 맥라렌 아투라
147,2021 렉서스 RX 하이브리드
148,2021 재규어 F-타입 쿠페
149,2021 벤츠 AMG GT R
150,2021 포드 레인저
151,2021 재규어 F-페이스
152,2020 벤츠 C클래스 카브리올레
153,2019 벤틀리 컨티넨탈 GT
154,2021 포드 익스페디션
155,2021 혼다 CR-V
156,2021 아우디 A5 스포트백
157,2021 BMW 3시리즈 플러그인 하이브리드
158,2021 미니 해치백 5도어
159,2021 테슬라 사이버트럭
160,2020 캐딜락 XT6
161,2022 벤츠 AMG GT 4도어 쿠페
162,2021 포드 익스플로러 플러그인 하이브리드
163,2021 벤츠 G클래스 AMG
164,2021 지프 글래디에이터
165,2021 볼보 XC90 플러그인 하이브리드
166,2019 람보르기니 아벤타도르 SVJ 로드스터
167,2021 벤틀리 컨티넨탈 GT
168,2021 랜드로버 레인지로버 스포츠
169,2021 BMW M3
170,2021 포르쉐 박스터 GTS
171,2021 지프 컴패스
172,2021 테슬라 모델X
173,2021 랜드로버 디스커버리 스포츠
174,2020 폭스바겐 골프
175,2020 포르쉐 카이엔 쿠페
176,2019 페라리 SF90 스트라달레
177,2021 아우디 RS Q8
178,2021 볼보 S90 플러그인 하이브리드
179,2021 아우디 A8
180,2020 재규어 XF
181,2021 테슬라 모델S
182,2021 람보르기니 아벤타도르
183,2021 벤츠 CLA클래스 AMG
184,2020 쉐보레 콜벳 스팅레이
185,2021 포르쉐 파나메라 GTS
186,2021 포르쉐 카이맨 GTS
187,2021 렉서스 LS 하이브리드
188,2021 벤츠 GLC 쿠페 플러그인 하이브리드
